"","member_casual","day_of_week","count"
"1","casual","Sunday",181293
"2","member","Sunday",267965
"3","casual","Monday",103296
"4","member","Monday",472196
"5","casual","Tuesday",90510
"6","member","Tuesday",508445
"7","casual","Wednesday",92457
"8","member","Wednesday",500329
"9","casual","Thursday",102679
"10","member","Thursday",484177
"11","casual","Friday",122404
"12","member","Friday",452790
"13","casual","Saturday",209543
"14","member","Saturday",287958
